Preferred Semantics - Average,Categoriser - Average,Grounded Semantics - Average,GroundTruth
1.0,1.0,1.0,4.0
1.0,1.0,1.0,3.0
3.5,3.5,3.5,4.0
1.0,1.0,1.0,4.0
4.0,4.0,4.0,3.0
1.0,1.0,1.0,3.0
3.25,3.25,3.25,3.0
2.0,2.0,2.0,2.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,3.0
3.0,3.0,3.0,4.0
1.0,1.0,1.0,3.0
2.666666666,2.666666666,2.666666666,3.0
3.0,3.0,3.0,4.0
1.0,1.0,1.0,4.0
2.666666666,2.666666666,2.666666666,3.0
2.5,2.5,2.5,4.0
3.333333333,3.333333333,3.333333333,4.0
1.0,1.0,1.0,4.0
,,,4.0
1.0,1.0,1.0,2.0
1.0,1.0,1.0,2.0
3.666666666,3.666666666,3.666666666,3.0
,,,4.0
,,,4.0
2.5,2.5,2.5,2.0
3.0,3.0,3.0,4.0
3.5,3.5,3.5,2.0
3.0,3.0,3.0,4.0
3.0,3.0,3.0,3.0
2.5,2.5,2.5,2.0
3.333333333,3.333333333,3.333333333,3.0
3.0,3.0,3.0,2.0
,,,4.0
4.0,4.0,4.0,4.0
3.0,3.0,3.0,4.0
3.0,3.0,3.0,4.0
4.0,4.0,4.0,4.0
2.333333333,2.333333333,2.333333333,4.0
2.5,2.5,2.5,2.0
4.0,4.0,4.0,3.0
3.333333333,3.333333333,3.333333333,2.0
3.0,3.0,3.0,3.0
2.5,2.5,2.5,3.0
2.666666666,2.666666666,2.666666666,3.0
3.5,3.5,3.5,4.0
3.5,3.5,3.5,4.0
2.5,2.5,2.5,2.0
4.0,4.0,4.0,1.0
2.0,2.0,2.0,4.0
4.0,4.0,4.0,4.0
1.0,1.0,1.0,3.0
4.0,4.0,4.0,2.0
1.0,1.0,1.0,3.0
2.666666666,2.666666666,2.666666666,3.0
3.0,3.0,3.0,3.0
3.666666666,3.666666666,3.666666666,1.0
,,,4.0
1.0,1.0,1.0,3.0
2.5,2.5,2.5,3.0
2.333333333,2.333333333,2.333333333,1.0
2.666666666,2.666666666,2.666666666,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
1.0,1.0,1.0,3.0
3.5,3.5,3.5,2.0
2.333333333,2.333333333,2.333333333,4.0
2.5,2.5,2.5,3.0
2.666666666,2.666666666,2.666666666,1.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
